Time,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ,VelX,VelY,VelZ,
1609652074954755072,0.03955,0.02978,0.00519,0.99687,0.01512,-0.02074,0.07476,0.07797,0.07832,0.00587,
1609652075021330944,0.04615,0.03639,0.00428,0.99610,0.01811,-0.01676,0.08473,0.06326,0.06507,0.00196,
1609652075088098048,0.05094,0.04132,0.00450,0.99537,0.01703,-0.01498,0.09341,0.04845,0.07084,0.00100,
1609652075154668544,0.05520,0.04574,0.00413,0.99465,0.01316,-0.01107,0.10182,0.06214,0.07694,0.00537,
1609652075221511936,0.05933,0.05038,0.00407,0.99377,0.01255,-0.00911,0.11039,0.05600,0.07506,0.00606,
1609652075288313856,0.06338,0.05486,0.00355,0.99284,0.00982,-0.00605,0.11892,0.04468,0.07769,0.00125,
1609652075355232256,0.06764,0.05990,0.00213,0.99174,0.00396,0.00126,0.12817,0.06304,0.07421,0.00310,
1609652075421534720,0.07195,0.06537,0.00205,0.99049,0.00295,0.00077,0.13755,0.06845,0.08013,0.00365,
1609652075488145920,0.07649,0.07113,0.00203,0.98904,0.00013,-0.00113,0.14762,0.05870,0.09311,-0.00212,
1609652075554983936,0.08086,0.07717,0.00206,0.98746,-0.00011,-0.00113,0.15788,0.06999,0.09737,-0.00247,
1609652075621566464,0.08502,0.08329,0.00200,0.98577,-0.00077,-0.00112,0.16809,0.06080,0.09312,0.00116,
1609652075688190976,0.08927,0.08959,0.00209,0.98395,-0.00185,-0.00203,0.17840,0.06465,0.10245,0.00076,
1609652075755511040,0.09347,0.09621,0.00217,0.98200,-0.00162,-0.00180,0.18885,0.05812,0.09935,0.00021,
1609652075821675776,0.09730,0.10254,0.00193,0.98001,-0.00167,-0.00104,0.19894,0.05877,0.10393,-0.00205,
1609652075888366848,0.10128,0.10893,0.00194,0.97789,0.00046,0.00047,0.20910,0.05775,0.10533,0.00066,
1609652075955035904,0.10492,0.11538,0.00177,0.97568,0.00202,0.00295,0.21918,0.05149,0.10282,-0.00411,
1609652076021770240,0.10834,0.12178,0.00148,0.97338,0.00169,0.00366,0.22915,0.04957,0.09198,-0.00134,
1609652076088480512,0.11118,0.12763,0.00169,0.97128,0.00124,0.00318,0.23790,0.03776,0.08401,-0.00043,
1609652076154943744,0.11350,0.13287,0.00167,0.96939,0.00085,0.00296,0.24550,0.03457,0.07498,0.00432,
1609652076221684736,0.11532,0.13709,0.00172,0.96783,0.00346,0.00496,0.25152,0.02371,0.05375,0.00045,
1609652076288242432,0.11647,0.14006,0.00175,0.96667,0.00439,0.00576,0.25593,0.01692,0.03806,0.00114,
1609652076355098880,0.11695,0.14121,0.00167,0.96621,0.00499,0.00667,0.25762,0.00370,0.01760,-0.00385,
1609652076421895680,0.11702,0.14146,0.00170,0.96611,0.00526,0.00694,0.25798,-0.00272,-0.00835,0.00267,
1609652076488552448,0.11697,0.14110,0.00174,0.96625,0.00478,0.00600,0.25750,-0.00090,-0.01224,0.00036,
1609652076555047424,0.11640,0.13947,0.00169,0.96696,0.00587,0.00699,0.25475,-0.01109,-0.02726,-0.00183,
1609652076621948928,0.11500,0.13619,0.00166,0.96825,0.00529,0.00730,0.24983,-0.03952,-0.08444,0.00360,
1609652076688573952,0.11289,0.13140,0.00159,0.97000,0.00378,0.00686,0.24298,-0.03384,-0.08727,0.00224,
1609652076755186432,0.10999,0.12521,0.00166,0.97219,0.00330,0.00565,0.23410,-0.04468,-0.09128,-0.00956,
1609652076821870848,0.10647,0.11846,0.00173,0.97457,0.00412,0.00576,0.22398,-0.05373,-0.10909,-0.00104,
1609652076888608768,0.10317,0.11117,0.00189,0.97690,0.00473,0.00562,0.21356,-0.05314,-0.11146,0.00339,
